date,resolution_ms,source,target,lag_ms,n_impulses,response_return,response_signed_notional,p_return,p_flow,q_return,q_flow,significant
2024-03-05,50,ETHUSDT,ETHUSDT,250,579,3.8460161015123124e-05,3748.626693955099,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,500,579,4.8026190917338644e-05,3890.019756476686,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,1000,579,5.8429960238605886e-05,2577.355700863563,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,2000,579,6.670647219745562e-05,6199.777830224535,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,ETHUSDT,5000,579,5.8703381510329754e-05,23640.624922107094,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,10,579,1.1376417250268205e-05,1562.0657303972393,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,25,579,1.1376417250268205e-05,1562.0657303972393,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,50,579,1.1376417250268205e-05,1562.0657303972393,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,100,579,1.7998871545913997e-05,1783.9303715025949,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,250,579,3.116356778925396e-05,2065.7381566494,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,500,579,4.333134608511138e-05,3358.717093264257,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,1000,579,5.26152091634104e-05,2863.9747141623543,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,2000,579,6.574810748267456e-05,5027.829360794478,0.01,0.01,0.01,0.01,True
2024-03-05,50,ETHUSDT,SOLUSDT,5000,579,1.5661294706014967e-05,-157.34807219342807,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,10,449,6.601562311146709e-06,16707.10954521161,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,25,449,6.601562311146709e-06,16707.10954521161,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,50,449,6.601562311146709e-06,16707.10954521161,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,100,449,9.326769960995281e-06,19959.646451002256,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,250,449,1.873489268640471e-05,28121.097382850756,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,500,449,2.4978988908964293e-05,23516.56020489974,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,1000,449,3.6207129679750534e-05,27449.248859688145,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,2000,449,3.951817294792085e-05,62780.28401536743,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,BTCUSDT,5000,449,5.296467627402768e-05,119848.54164276147,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,10,449,5.315422447605277e-06,300.428915590203,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,25,449,5.315422447605277e-06,300.428915590203,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,50,449,5.315422447605277e-06,300.428915590203,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,100,449,9.654535279699303e-06,-591.9248726057895,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,250,449,1.681414407451981e-05,185.51503496659237,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,500,449,2.4296119135452055e-05,-367.2141895322969,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,1000,449,2.999261993246514e-05,-1776.2030514476667,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,2000,449,3.564419006992304e-05,-2126.611315812906,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,ETHUSDT,5000,449,5.1041586147448695e-05,-2464.3640739420857,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,10,449,2.3576239557186668e-05,2105.609691091314,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,25,449,2.3576239557186668e-05,2105.609691091314,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,50,449,2.3576239557186668e-05,2105.609691091314,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,100,449,3.445791611650855e-05,6113.388640311804,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,250,449,4.3740715481713824e-05,7017.4097906458765,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,500,449,5.255420090918672e-05,7287.767850111347,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,1000,449,6.521232258472357e-05,7165.799260801773,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,2000,449,7.533179826125338e-05,10645.733055233843,0.01,0.01,0.01,0.01,True
2024-03-05,50,SOLUSDT,SOLUSDT,5000,449,7.924206377141344e-05,13607.321075723801,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,10,551,2.266945029492261e-05,16477.371311070787,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,25,551,2.266945029492261e-05,16477.371311070787,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,50,551,2.266945029492261e-05,16477.371311070787,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,100,551,2.266945029492261e-05,16477.371311070787,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,250,551,3.2833065335549846e-05,22068.540490562627,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,500,551,3.756181809303013e-05,23660.937861705992,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,1000,551,4.1525350191326444e-05,44353.01503266791,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,2000,551,4.599012995776595e-05,97636.25571869324,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,BTCUSDT,5000,551,4.724651689788513e-05,160193.8572754993,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,10,551,1.648625812454278e-05,4896.4110923775015,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,25,551,1.648625812454278e-05,4896.4110923775015,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,50,551,1.648625812454278e-05,4896.4110923775015,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,100,551,1.648625812454278e-05,4896.4110923775015,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,250,551,2.976061551855493e-05,5172.006805444652,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,500,551,3.844010999841846e-05,5226.04506424683,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,1000,551,5.0162986774176176e-05,6911.0157150635205,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,2000,551,5.138244699064111e-05,-106.76086424681242,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,ETHUSDT,5000,551,6.015953634610812e-05,4519.887078584425,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,10,551,1.7412709684647378e-05,1519.097405444647,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,25,551,1.7412709684647378e-05,1519.097405444647,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,50,551,1.7412709684647378e-05,1519.097405444647,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,100,551,1.7412709684647378e-05,1519.097405444647,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,250,551,3.759712709621581e-05,3188.241046642471,0.01,0.01,0.01,0.01,True
2024-03-05,100,BTCUSDT,SOLUSDT,500,551,4.279838231139747e-05,2786.7251916515434,0.01,0.01,0.01,0.01,True
