spectral_radius,lambda2,mean_forman,date,resolution_ms
0.35919905168341804,1.045860160347832,-3.5535428332347476,2024-03-05,50
0.25003842232091433,0.7688523977461104,-2.5883601572526103,2024-03-05,100
0.2123567856692548,0.94490344985661,-2.6798313399715123,2024-03-05,250
0.1653184002413178,1.6227986763602644,-3.6602358329686844,2024-03-05,500
0.1346871825876602,1.4776743916264707,-2.9695082015505565,2024-03-05,1000
