t_ms,signed_notional,notional,return,idx,z_flow,z_activity,direction,symbol,date,resolution_ms
1709596801300,133712.41,208088.09000000005,0.0,26,8.788420023764953,14.662567944320818,1,BTCUSDT,2024-03-05,50
1709596802650,-784411.9745000001,784411.9745000001,-6.87683946569706e-05,53,-51.55648532231828,16.251431272673898,-1,BTCUSDT,2024-03-05,50
1709596806600,-406326.63339999993,630301.2833999998,-0.00017707727420557262,132,-26.706340280319235,15.989524848042056,-1,BTCUSDT,2024-03-05,50
1709596808600,-194858.96959999992,195405.37919999994,-7.174373142326829e-05,172,-12.807356252443924,14.587271899384225,-1,BTCUSDT,2024-03-05,50
1709596809700,-217671.31889999998,217671.31889999998,-0.0001069159224460492,194,-14.306727233620922,14.71647859550221,-1,BTCUSDT,2024-03-05,50
1709596811000,-391536.91000000003,391536.91000000003,-0.00010254982831980897,220,-25.734266698858068,15.419439990935965,-1,BTCUSDT,2024-03-05,50
1709596812500,-780499.3710000002,780499.3710000002,-0.0001055073365208159,250,-51.29932442794466,16.245443957751764,-1,BTCUSDT,2024-03-05,50
1709596814600,562881.8901000002,562881.8901000002,9.82087170555701e-05,292,36.99613576607815,15.854069713852287,1,BTCUSDT,2024-03-05,50
1709596816200,-136516.60000000003,136516.60000000003,-1.4650222279755098e-06,324,-8.972729016074954,14.157864366103139,-1,BTCUSDT,2024-03-05,50
1709596819400,-140590.5609,140590.5609,-2.3443704339598526e-05,388,-9.240495332975497,14.193073303433293,-1,BTCUSDT,2024-03-05,50
1709596823450,-1978256.3876999984,1978256.3876999984,-0.00019932756326568324,469,-130.02344397056032,17.35903469326002,-1,BTCUSDT,2024-03-05,50
1709596825050,266511.8703,266511.8703,6.594078080723875e-05,501,17.516835254974225,14.958862758345836,1,BTCUSDT,2024-03-05,50
1709596829350,-169345.17429999996,169345.17429999996,-3.368164548334107e-05,587,-11.130429260426057,14.415885743141793,-1,BTCUSDT,2024-03-05,50
1709596833900,-158287.706,158287.706,-3.953990198901636e-05,678,-10.403662942925193,14.335034594264581,-1,BTCUSDT,2024-03-05,50
1709596837750,-207390.3955,207390.3955,-0.0001933151056885407,755,-13.631000327858372,14.658546604918502,-1,BTCUSDT,2024-03-05,50
1709596840550,92449.98859999998,92449.98859999998,0.0,811,6.076394337736351,13.691162521620592,1,BTCUSDT,2024-03-05,50
1709596841900,-470581.4088000001,470581.4088000001,-0.00027388252075688513,838,-30.929567987813858,15.639621488512876,-1,BTCUSDT,2024-03-05,50
1709596845600,-109135.90740000001,109135.90740000001,0.0,912,-7.173097799268727,13.88983426661462,-1,BTCUSDT,2024-03-05,50
1709596847650,133159.84810000003,133159.84810000003,2.9303127675461837e-06,953,8.752102182613713,14.12805511361305,1,BTCUSDT,2024-03-05,50
1709596851750,-110209.2462,110209.2462,0.0,1035,-7.243644371589155,13.901552548592958,-1,BTCUSDT,2024-03-05,50
1709596852950,136774.13379999995,136774.13379999995,5.125565369290541e-05,1059,8.98965575611887,14.160121004283045,1,BTCUSDT,2024-03-05,50
1709596860300,245645.59,245645.59,6.733927873447954e-05,1206,16.14537216033692,14.861243398170844,1,BTCUSDT,2024-03-05,50
1709596864250,683716.6223,683716.6223,0.00013748599565843733,1285,44.93815386322227,16.08692487653544,1,BTCUSDT,2024-03-05,50
1709596868100,-105268.9572,135207.13320000004,-0.0001053315310919345,1362,-6.918937526721236,14.146323916291843,-1,BTCUSDT,2024-03-05,50
1709596869350,-1955531.3614999994,1955531.3614999994,-0.00027947695557806185,1387,-128.52981241237768,17.345200503402037,-1,BTCUSDT,2024-03-05,50
1709596874550,161511.28630000004,161511.28630000004,0.0,1491,10.615536901795087,14.359174137471689,1,BTCUSDT,2024-03-05,50
1709596875600,-140800.98500000002,140800.98500000002,-4.389269699345277e-05,1512,-9.2543257274312,14.194864062172227,-1,BTCUSDT,2024-03-05,50
1709596881850,-109187.66460000002,109187.66460000002,0.0,1637,-7.176499607768433,13.89040197044834,-1,BTCUSDT,2024-03-05,50
1709596887300,-113147.14689999999,113147.14689999999,-0.00013026331503418476,1746,-7.436741671530971,13.933052909946293,-1,BTCUSDT,2024-03-05,50
1709596891300,-142383.72929999998,142383.72929999998,-0.00010835743320569691,1826,-9.358353631038797,14.208248435991909,-1,BTCUSDT,2024-03-05,50
1709596893000,-107336.25799999999,107336.25799999999,-0.00010105573965013548,1860,-7.05481352914962,13.869925356327597,-1,BTCUSDT,2024-03-05,50
1709596894600,1708541.1360999998,1727522.4066999997,0.000320789584559833,1892,112.29606236195548,17.196759116906964,1,BTCUSDT,2024-03-05,50
1709596895700,-619564.1324000001,619564.1324000001,-0.0001420721890212917,1914,-40.721649001694914,15.968952140580992,-1,BTCUSDT,2024-03-05,50
1709596898950,-942066.5413999998,960357.1737999998,-2.783872586675784e-05,1979,-61.91853438404672,16.493742335503175,-1,BTCUSDT,2024-03-05,50
1709596901600,-347977.929,347977.929,-1.025928887088412e-05,2032,-22.87129668107739,15.278222560273381,-1,BTCUSDT,2024-03-05,50
1709596903150,-667516.7619000004,697670.3113000003,-0.00014070985212022435,2063,-43.87339721481877,16.111115301080396,-1,BTCUSDT,2024-03-05,50
1709596906050,452571.3599999999,453253.45599999995,1.4660682179368223e-06,2121,29.745834379969192,15.594699542975135,1,BTCUSDT,2024-03-05,50
1709596908700,330516.97130000003,330516.97130000003,9.23490295576812e-05,2174,21.723652791592542,15.216581266355101,1,BTCUSDT,2024-03-05,50
1709596910100,-178254.4225,178254.4225,-1.4658404214884513e-06,2202,-11.71600105049081,14.477277501795243,-1,BTCUSDT,2024-03-05,50
1709596913900,-180776.5438,180776.5438,0.0,2278,-11.881770714916755,14.494100152928088,-1,BTCUSDT,2024-03-05,50
1709596914900,-767417.9112,797564.4801999999,-0.00014367436961926217,2298,-50.439528667428505,16.271341379628403,-1,BTCUSDT,2024-03-05,50
1709596919100,196540.5008,196540.5008,9.381798145646769e-05,2382,12.91787705203662,14.594207290126132,1,BTCUSDT,2024-03-05,50
1709596920900,-147088.788,147088.788,0.0,2418,-9.667599662069646,14.24717522748513,-1,BTCUSDT,2024-03-05,50
1709596924600,368817.9757000001,368817.9757000001,0.0001450869388399667,2492,24.241035538633525,15.34786596990294,1,BTCUSDT,2024-03-05,50
1709596927400,172853.31100000002,172853.31100000002,1.4648269424100135e-06,2548,11.361006054460248,14.440436605643372,1,BTCUSDT,2024-03-05,50
1709596930700,-131502.6576,131502.6576,0.0,2614,-8.643181206816529,14.113060403950783,-1,BTCUSDT,2024-03-05,50
1709596933700,137873.492,137873.492,9.665118302848441e-05,2674,9.061912486950142,14.169706579512857,1,BTCUSDT,2024-03-05,50
1709596938000,154570.4844,154570.4844,4.540617656623169e-05,2760,10.159343775076735,14.306580534702196,1,BTCUSDT,2024-03-05,50
1709596941000,-349590.33129999955,349590.33129999955,0.0,2820,-22.977273894857923,15.283757869373508,-1,BTCUSDT,2024-03-05,50
