idx,t_ms,kind,direction,score,spread,depth,imbalance,signed_flow
5285,1704067205323,bbo_imbalance,1,30.715881523276217,0.10000000000582077,0.006,0.0,0.0
5495,1704067205533,top_depth,1,11.233694364266755,0.09999999999854481,1.207,-0.9966859983421733,0.0
5839,1704067205877,top_depth,-1,6.761140845548215,0.09999999999854481,25.39,-0.9762111067348966,0.0
5939,1704067205977,top_depth,1,17.92072857256525,0.09999999999854481,4.54,-0.9889867841407511,-19883.505400000002
6065,1704067206103,top_depth,-1,18.414772820896737,0.09999999999854481,35.431000000000004,-0.9506646721797026,0.0
6184,1704067206222,top_depth,1,17.63011430884084,0.09999999999854481,3.3280000000000003,-0.9236778846151069,-39594.5476
7093,1704067207131,top_depth,1,27.98905973929715,0.09999999999854481,1.79,-0.97765363128437,0.0
7283,1704067207321,top_depth,1,26.826602684399543,0.09999999999854481,2.6479999999999997,-0.8126888217519591,-46653.3454
7463,1704067207501,top_depth,1,14.92449551356666,0.09999999999854481,2.8049999999999997,-0.7112299465238107,-7655.4859
8605,1704067208643,bbo_imbalance,1,7.464452517485227,0.09999999999854481,9.655000000000001,-0.013775245986534046,0.0
10621,1704067210659,bbo_imbalance,1,6.198973480804574,0.09999999999854481,11.798,0.08848957450414578,0.0
10844,1704067210882,bbo_imbalance,-1,23.263466873812916,0.09999999999854481,9.198,-0.680147858229976,0.0
12077,1704067212115,bbo_imbalance,1,10.165121449165262,0.09999999999854481,8.581999999999999,-0.39920764390580293,0.0
12420,1704067212458,bbo_imbalance,-1,8.873364627397585,0.09999999999854481,3.943,-0.7260968805476221,0.0
12578,1704067212616,top_depth,-1,8.265069660321988,0.09999999999854481,18.548,-0.8289842570627115,0.0
12928,1704067212966,top_depth,1,20.329920818840534,0.09999999999854481,3.472,-0.9596774193545624,-69319.0981
13314,1704067213352,bbo_imbalance,1,6.589001549180356,0.09999999999854481,14.175,-0.38299823633154256,0.0
13621,1704067213659,bbo_imbalance,-1,10.55152283055684,0.09999999999854481,7.097,0.41524587854016975,0.0
13793,1704067213831,bbo_imbalance,1,10.876656388272865,0.09999999999854481,5.9910000000000005,0.6881989651142233,0.0
13970,1704067214008,bbo_imbalance,-1,9.270164703317146,0.09999999999854481,7.5920000000000005,0.6037934668070858,-253.7376
14155,1704067214193,bbo_imbalance,-1,12.550869876526322,0.09999999999854481,7.859,0.41748314034859174,0.0
14259,1704067214297,bbo_imbalance,-1,6.635004430991353,0.09999999999854481,8.996,0.547354379724261,0.0
14513,1704067214551,bbo_imbalance,-1,27.121488662384028,0.09999999999854481,2.16,0.11111111111105966,36717.337
14650,1704067214688,bbo_imbalance,-1,7.688064077235629,0.09999999999854481,10.394,-0.48604964402535245,0.0
15595,1704067215633,top_depth,1,30.867594021487356,0.09999999999854481,2.33,-0.40085836909854033,0.0
17031,1704067217069,trade_flow,1,41.93718355344208,0.09999999999854481,16.715,-0.6860305115165608,530473.0131
17158,1704067217196,top_depth,1,26.813525042531943,0.20000000000436557,4.095,0.46568986568975196,19162.478
17393,1704067217431,top_depth,-1,7.80735219495606,0.09999999999854481,19.849,0.6811930072043588,1142.1459
18336,1704067218374,bbo_imbalance,-1,9.172864055520137,0.09999999999854481,6.556,-0.926174496644154,0.0
19404,1704067219442,bbo_imbalance,-1,6.843995892112759,0.09999999999854481,7.981,-0.9621601303093645,0.0
19622,1704067219660,bbo_imbalance,1,6.78556661510723,0.09999999999854481,9.091000000000001,-0.7437025629742884,0.0
20197,1704067220235,bbo_imbalance,1,6.580918720615962,0.09999999999854481,9.408,-0.7621173469386945,0.0
20415,1704067220453,top_depth,1,29.033818017386377,0.09999999999854481,3.6759999999999997,-0.9749727965176892,-888.2971
21090,1704067221128,top_depth,-1,8.270881945596475,0.09999999999854481,29.34,-0.8740286298568211,0.0
26813,1704067226851,bbo_imbalance,1,7.079588758662032,0.09999999999854481,12.717,0.5892112919713306,0.0
27210,1704067227248,bbo_imbalance,-1,46.24485157419148,0.10000000000582077,9.855,-0.7390157280567491,423013.0
28986,1704067229024,bbo_imbalance,-1,27.342197129834748,0.09999999999854481,6.214,-0.547795300933288,0.0
29121,1704067229159,bbo_imbalance,1,37.93012460750194,0.10000000000582077,0.368,0.28260869565140595,0.0
29320,1704067229358,top_depth,1,28.911760026622126,0.09999999999854481,2.9370000000000003,0.7977528089884923,0.0
29561,1704067229599,top_depth,1,26.265717155411448,0.09999999999854481,3.028,0.9834874504620266,0.0
29679,1704067229717,top_depth,1,26.41974271518538,0.09999999999854481,5.146999999999999,0.9953370895665447,169.23239999999998
30079,1704067230117,top_depth,1,29.44358412923778,0.09999999999854481,2.52,0.9841269841265936,2327.031
30189,1704067230227,top_depth,1,38.67494621644341,0.10000000000582077,3.534,0.9886813808712539,1861.6579000000002
30306,1704067230344,bbo_imbalance,-1,27.423527236376508,0.09999999999854481,1.366,0.0775988286968685,0.0
31635,1704067231673,top_depth,1,25.457809502257614,0.10000000000582077,5.505,0.8746594005448003,0.0
31832,1704067231870,top_depth,1,33.0428417854645,0.09999999999854481,0.663,0.9879336349909684,0.0
32031,1704067232069,top_depth,1,35.47528317283775,0.09999999999854481,4.156,0.9518768046195978,0.0
