lag_ms,n_events,signed_mid_response,signed_mid_response_bp,matched_null_median,p_value,q_value
100,813,6.510081212115095e-08,0.0006510081212115095,1.4080909897141871e-08,0.88,0.8950000000000001
250,813,6.963900892149028e-07,0.006963900892149028,1.15919588773858e-07,0.39,0.6825
500,813,2.3286415123898672e-07,0.0023286415123898673,-2.690490927099313e-07,0.895,0.8950000000000001
1000,813,3.280857235744393e-07,0.003280857235744393,-5.427069374845526e-07,0.895,0.8950000000000001
2000,813,5.363981004755352e-06,0.05363981004755352,-2.0003255313459202e-08,0.125,0.2916666666666667
5000,813,9.620309954122696e-06,0.09620309954122695,1.1419258965122349e-06,0.055,0.1925
10000,813,1.4422313311295995e-05,0.14422313311295995,2.5889662071828342e-06,0.04,0.1925
